rbt; c1; c2; dist
[0.0, 0.0, -1.0000000000000002, 0.0, 0.99154291675477746, -0.12977921341042517, 0.0, 0.0, -0.12977921341042517, -0.99154291675477746, 0.0, 0.071966666666666665, 0.0, 0.0, 0.0, 1.0]; [-0.038692666666666667, 0.005064333333333333, 0.071966666666666665]; [0.038692666666666667, -0.005064333333333333, 0.071966666666666665]; 0.0780453695203
[1.2246467991473535e-16, 0.0, 1.0000000000000002, 0.0, -0.99154291675477746, -0.12977921341042517, 1.2142898592209687e-16, 0.0, 0.12977921341042517, -0.99154291675477746, -1.5893369829893844e-17, 0.071966666666666665, 0.0, 0.0, 0.0, 1.0]; [-0.038692666666666667, 0.005064333333333333, 0.071966666666666665]; [0.038692666666666667, -0.005064333333333333, 0.071966666666666665]; 0.0780453695203
[-1.0000000000000002, 0.0, 1.8369701987210302e-16, 0.0, -1.821434788831453e-16, -0.12977921341042517, -0.99154291675477746, 0.0, 2.3840054744840764e-17, -0.99154291675477746, 0.12977921341042517, 0.071966666666666665, 0.0, 0.0, 0.0, 1.0]; [-0.038692666666666667, 0.005064333333333333, 0.071966666666666665]; [0.038692666666666667, -0.005064333333333333, 0.071966666666666665]; 0.0780453695203
[0.0, 0.0, -0.99999999999999989, 0.0, -0.96572750493788084, -0.25955805941340965, 0.0, 0.0, -0.2595580594134097, 0.96572750493788095, 0.0, 0.071966666666666665, 0.0, 0.0, 0.0, 1.0]; [0.037685333333333335, 0.010128666666666666, 0.071966666666666665]; [-0.037685333333333335, -0.010128666666666666, 0.071966666666666665]; 0.0780454799944
[1.224646799147353e-16, 0.0, 0.99999999999999989, 0.0, 0.96572750493788084, -0.25955805941340965, -1.1826750977707356e-16, 0.0, 0.2595580594134097, 0.96572750493788095, -3.1786694665353074e-17, 0.071966666666666665, 0.0, 0.0, 0.0, 1.0]; [0.037685333333333335, 0.010128666666666666, 0.071966666666666665]; [-0.037685333333333335, -0.010128666666666666, 0.071966666666666665]; 0.0780454799944
[-0.99999999999999989, 0.0, 1.8369701987210294e-16, 0.0, 1.7740126466561032e-16, -0.25955805941340965, 0.96572750493788084, 0.0, 4.7680041998029604e-17, 0.96572750493788095, 0.2595580594134097, 0.071966666666666665, 0.0, 0.0, 0.0, 1.0]; [0.037685333333333335, 0.010128666666666666, 0.071966666666666665]; [-0.037685333333333335, -0.010128666666666666, 0.071966666666666665]; 0.0780454799944
[0.0, 0.0, -1.0000000000000002, 0.0033723333333333331, -0.89653528114772396, -0.44297233509257861, 0.0, -0.006825166666666666, -0.44297233509257861, 0.89653528114772396, 0.0, 0.071966666666666665, 0.0, 0.0, 0.0, 1.0]; [0.037685333333333335, 0.010128666666666666, 0.071966666666666665]; [-0.030940666666666668, -0.023778999999999998, 0.071966666666666665]; 0.0765457884849
[1.2246467991473535e-16, 0.0, 1.0000000000000002, 0.0033723333333333331, 0.89653528114772396, -0.44297233509257861, -1.0979390623802326e-16, -0.006825166666666666, 0.44297233509257861, 0.89653528114772396, -5.4248465228195513e-17, 0.071966666666666665, 0.0, 0.0, 0.0, 1.0]; [0.037685333333333335, 0.010128666666666666, 0.071966666666666665]; [-0.030940666666666668, -0.023778999999999998, 0.071966666666666665]; 0.0765457884849
[-1.0000000000000002, 0.0, 1.8369701987210302e-16, 0.0033723333333333331, 1.6469085935703486e-16, -0.44297233509257861, 0.89653528114772396, -0.006825166666666666, 8.1372697842293266e-17, 0.89653528114772396, 0.44297233509257861, 0.071966666666666665, 0.0, 0.0, 0.0, 1.0]; [0.037685333333333335, 0.010128666666666666, 0.071966666666666665]; [-0.030940666666666668, -0.023778999999999998, 0.071966666666666665]; 0.0765457884849
[0.0, 0.0, -1.0, 0.00050366666666666615, -0.99780896734923419, -0.066160899914185209, 0.0, -0.0075964999999999991, -0.066160899914185223, 0.9978089673492343, 0.0, 0.071966666666666665, 0.0, 0.0, 0.0, 1.0]; [0.038692666666666667, -0.005064333333333333, 0.071966666666666665]; [-0.037685333333333335, -0.010128666666666666, 0.071966666666666665]; 0.076545714159
[1.2246467991473532e-16, 0.0, 1.0, 0.00050366666666666615, 0.99780896734923419, -0.066160899914185209, -1.2219635580247655e-16, -0.0075964999999999991, 0.066160899914185223, 0.9978089673492343, -8.1023734308615332e-18, 0.071966666666666665, 0.0, 0.0, 0.0, 1.0]; [0.038692666666666667, -0.005064333333333333, 0.071966666666666665]; [-0.037685333333333335, -0.010128666666666666, 0.071966666666666665]; 0.076545714159
[-1.0, 0.0, 1.8369701987210297e-16, 0.00050366666666666615, 1.8329453370371481e-16, -0.066160899914185209, 0.99780896734923419, -0.0075964999999999991, 1.2153560146292299e-17, 0.9978089673492343, 0.066160899914185223, 0.071966666666666665, 0.0, 0.0, 0.0, 1.0]; [0.038692666666666667, -0.005064333333333333, 0.071966666666666665]; [-0.037685333333333335, -0.010128666666666666, 0.071966666666666665]; 0.076545714159
[0.0, 0.0, -1.0000000000000002, -0.0033723333333333331, 0.89653528114772396, 0.44297233509257861, 0.0, 0.006825166666666666, 0.44297233509257861, -0.89653528114772396, 0.0, 0.071966666666666665, 0.0, 0.0, 0.0, 1.0]; [-0.037685333333333335, -0.010128666666666666, 0.071966666666666665]; [0.030940666666666668, 0.023778999999999998, 0.071966666666666665]; 0.0765457884849
[1.0000000000000002, 0.0, -6.1232339957367673e-17, -0.0033723333333333331, 5.489695311901163e-17, 0.44297233509257861, 0.89653528114772396, 0.006825166666666666, 2.7124232614097756e-17, -0.89653528114772396, 0.44297233509257861, 0.071966666666666665, 0.0, 0.0, 0.0, 1.0]; [-0.037685333333333335, -0.010128666666666666, 0.071966666666666665]; [0.030940666666666668, 0.023778999999999998, 0.071966666666666665]; 0.0765457884849
[1.2246467991473535e-16, 0.0, 1.0000000000000002, -0.0033723333333333331, -0.89653528114772396, 0.44297233509257861, 1.0979390623802326e-16, 0.006825166666666666, -0.44297233509257861, -0.89653528114772396, 5.4248465228195513e-17, 0.071966666666666665, 0.0, 0.0, 0.0, 1.0]; [-0.037685333333333335, -0.010128666666666666, 0.071966666666666665]; [0.030940666666666668, 0.023778999999999998, 0.071966666666666665]; 0.0765457884849
[0.0, 0.0, -1.0, 0.0, -0.79289033653700969, -0.60936435260542388, 0.0, 0.0, -0.60936435260542399, 0.7928903365370098, 0.0, 0.071966666666666665, 0.0, 0.0, 0.0, 1.0]; [0.030940666666666668, 0.023778999999999998, 0.071966666666666665]; [-0.030940666666666668, -0.023778999999999998, 0.071966666666666665]; 0.0780452610932
